Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
1-Jan-12,0,1574,549,382,157,2727,3363,826,1015,781,325,791,4372,3164,325,4171,3726,479,2848
1-Jan-12,1,1616,283,261,105,2767,3232,773,878,524,246,400,1361,709,169,2843,3082,1011,588
1-Jan-12,2,750,86,91,39,1411,2133,362,496,277,131,263,722,297,52,2153,2784,1346,265
1-Jan-12,3,273,86,66,34,737,1219,298,262,151,135,253,442,186,58,967,1915,1034,107
1-Jan-12,4,214,19,34,26,486,692,173,145,89,56,28,65,45,18,404,959,532,65
1-Jan-12,5,104,24,8,21,189,333,107,89,52,15,11,46,20,7,302,485,289,47
1-Jan-12,6,64,18,15,15,134,252,75,96,32,27,18,55,14,14,187,306,193,34
1-Jan-12,7,36,40,15,20,124,221,40,55,57,24,14,76,39,20,186,224,120,72
1-Jan-12,8,56,63,32,7,177,221,59,109,89,18,23,123,37,41,262,262,87,66
1-Jan-12,9,127,82,64,12,336,458,260,315,210,54,50,155,74,58,296,371,108,96
1-Jan-12,10,235,166,54,33,647,906,601,891,394,52,64,238,119,92,583,643,141,90
1-Jan-12,11,331,171,56,18,768,1429,1292,1416,598,59,53,243,110,80,934,917,188,144
1-Jan-12,12,575,212,119,20,1193,1693,1551,1466,563,63,83,264,160,78,1168,833,182,103
1-Jan-12,13,597,163,83,43,1626,1860,1763,1705,727,46,62,343,134,90,1367,1065,273,75
1-Jan-12,14,453,148,66,48,2006,1917,2046,1811,536,68,54,304,98,86,1464,1007,269,68
1-Jan-12,15,496,143,84,36,2023,2015,2006,1506,466,65,78,224,104,68,1313,1044,257,101
1-Jan-12,16,595,116,71,37,1681,1703,1811,1384,345,74,69,265,115,74,1206,1086,275,76
1-Jan-12,17,486,118,56,35,1539,1620,1264,936,308,64,90,281,153,57,1095,1041,292,116
1-Jan-12,18,491,115,48,49,1647,1196,971,528,247,62,127,242,85,62,955,969,324,106
1-Jan-12,19,661,121,41,51,1479,1375,751,527,215,29,65,416,208,83,958,883,249,110
1-Jan-12,20,616,112,50,60,1233,1178,700,512,190,50,71,578,335,64,1152,852,247,150
1-Jan-12,21,580,137,66,23,1332,1142,549,356,223,49,70,608,399,88,1577,953,445,107
1-Jan-12,22,412,81,29,31,838,1052,364,280,173,44,63,414,256,37,2108,791,371,74
1-Jan-12,23,252,70,25,22,652,930,247,168,132,36,48,191,96,15,2336,790,400,44
2-Jan-12,0,110,33,23,23,271,367,83,88,67,25,19,51,22,8,285,294,143,14
2-Jan-12,1,50,7,9,7,125,151,57,46,38,11,29,45,24,1,78,140,59,12
2-Jan-12,2,16,18,4,4,49,57,18,32,17,4,6,17,0,0,34,56,16,8
2-Jan-12,3,18,7,2,12,33,59,23,14,13,5,4,3,1,2,33,47,23,6
2-Jan-12,4,13,6,4,6,34,58,22,24,12,0,5,8,0,3,55,76,43,12
2-Jan-12,5,9,7,10,6,29,54,18,9,27,17,9,6,6,5,43,101,57,7
2-Jan-12,6,17,14,23,7,76,73,21,29,36,12,7,15,11,16,37,76,38,26
2-Jan-12,7,37,49,15,10,80,121,51,31,55,22,27,55,24,56,80,142,65,68
2-Jan-12,8,88,55,46,11,138,250,154,143,91,35,27,75,36,67,140,217,81,112
2-Jan-12,9,184,94,46,40,309,651,405,562,247,51,49,104,36,84,249,474,104,134
2-Jan-12,10,350,138,65,33,551,1084,901,1252,453,29,41,77,45,85,484,627,139,76
2-Jan-12,11,476,157,86,21,726,1587,1446,1744,736,41,41,89,49,91,621,769,193,73
2-Jan-12,12,605,156,76,31,1158,1819,1740,2077,917,67,54,75,25,59,785,822,163,61
2-Jan-12,13,670,215,85,29,1241,1980,1917,2139,779,48,31,77,21,46,875,929,164,55
2-Jan-12,14,694,172,73,41,1485,2172,2019,2230,775,60,65,125,29,72,847,1032,235,61
2-Jan-12,15,604,166,71,41,1627,2093,1929,2187,741,44,47,81,24,63,900,1021,220,51
2-Jan-12,16,582,163,82,43,1544,2059,2029,1989,697,47,58,65,21,53,743,1179,212,52
2-Jan-12,17,544,123,73,26,1470,1937,1628,1529,480,76,85,132,38,63,793,899,162,76
2-Jan-12,18,557,160,81,30,1556,1424,1253,795,354,94,131,280,46,68,660,770,227,45
2-Jan-12,19,534,72,77,32,1139,1031,930,434,194,73,68,210,62,40,570,746,244,48
2-Jan-12,20,538,123,78,24,1177,956,611,313,257,43,80,344,232,53,720,906,272,99
2-Jan-12,21,529,79,38,59,1218,920,475,312,159,46,113,610,280,48,777,870,293,72
2-Jan-12,22,272,66,20,39,752,700,347,176,129,62,76,485,280,40,509,751,320,63
2-Jan-12,23,201,63,15,22,374,477,217,133,73,15,42,95,55,8,425,542,235,15
3-Jan-12,0,99,44,16,13,200,262,63,74,55,15,14,65,13,26,176,266,102,17
3-Jan-12,1,63,12,0,11,77,81,50,33,38,0,3,15,4,5,48,99,40,2
3-Jan-12,2,43,15,6,4,50,48,9,14,17,3,8,7,5,6,44,68,29,1
3-Jan-12,3,22,17,2,0,20,44,7,5,4,5,3,11,3,2,44,41,9,15
3-Jan-12,4,11,7,0,19,19,40,10,24,7,3,3,9,3,2,50,45,29,0
3-Jan-12,5,18,23,17,42,43,45,31,18,18,21,5,5,3,12,56,92,33,19
3-Jan-12,6,51,142,103,295,67,94,34,59,59,136,50,22,2,51,146,267,94,53
