Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
1-May-09,0,124,28,36,17,,209,53,52,22,5,8,2,5,,157,139,95,
1-May-09,1,35,9,16,0,,132,43,34,16,11,22,3,1,,80,86,22,
1-May-09,2,26,4,15,1,,64,10,19,4,2,4,1,1,,29,35,7,
1-May-09,3,16,13,26,8,,36,5,14,2,3,4,0,0,,31,23,7,
1-May-09,4,10,15,26,0,,43,25,15,12,1,4,0,0,,36,66,41,
1-May-09,5,28,56,68,79,,85,20,16,29,49,22,2,0,,87,122,61,
1-May-09,6,71,226,259,610,,182,80,61,104,425,162,23,7,,267,475,124,
1-May-09,7,291,946,918,2200,,464,354,218,433,510,423,75,19,,938,1395,326,
1-May-09,8,744,2068,2037,4875,,979,846,596,1040,1273,937,112,51,,1762,2993,784,
1-May-09,9,641,1052,987,2274,,1364,1096,833,1048,700,473,118,14,,1076,1312,331,
1-May-09,10,661,662,519,967,,1819,1481,1161,1260,280,244,185,135,,840,962,378,
1-May-09,11,1014,713,488,853,,2372,2154,1668,1600,250,219,259,183,,1016,1018,323,
1-May-09,12,1880,1514,795,1075,,3657,3755,2856,2794,859,572,425,194,,1666,2050,651,
1-May-09,13,1894,1420,759,1148,,4244,4545,3335,3164,845,462,405,148,,1636,2157,597,
1-May-09,14,1665,870,602,904,,3512,3389,2388,2094,399,321,415,227,,1353,1694,574,
1-May-09,15,1866,790,701,1142,,3736,3312,2510,1858,709,338,557,336,,1411,1747,543,
1-May-09,16,2062,940,1121,2052,,4093,3676,2525,1755,862,848,290,156,,1984,2248,693,
1-May-09,17,2343,1402,1440,2982,,4235,3804,2944,1869,1116,1034,524,241,,2566,3160,985,
1-May-09,18,1953,715,667,1186,,3454,3010,2358,1237,431,505,992,590,,2110,2068,725,
1-May-09,19,1472,625,342,408,,2817,2092,1626,836,196,324,986,592,,1759,1353,422,
1-May-09,20,1483,267,172,231,,2525,1491,1079,481,98,178,433,200,,1128,1111,449,
1-May-09,21,1158,146,142,129,,1854,589,454,290,47,182,422,180,,988,1028,471,
1-May-09,22,958,180,159,132,,1717,576,557,320,135,420,921,444,,1618,987,427,
1-May-09,23,783,202,142,77,,1592,463,268,287,37,171,312,140,,1052,786,360,
2-May-09,0,374,102,61,38,,1000,237,165,141,30,108,80,53,,493,528,314,
2-May-09,1,200,40,18,17,,506,207,116,65,11,29,88,22,,292,317,147,
2-May-09,2,142,23,23,21,,416,126,64,67,6,25,16,15,,178,162,83,
2-May-09,3,102,6,9,2,,284,70,57,33,6,9,15,4,,128,122,78,
